"COD";"MUNCIPIOS";"NBI_TOT_2005";"GINI_TIERRA_2011_ANUARIO";"ICV_2005_DANE";"MIGRACIONES_2011_UDEA";"TASA_CRECI_RUR_2005_DANE";"IDIM_PROM_2005_2013";"VIOLENCIA_ACCIONES_2000_2013";"LUCHAS_SOCIALES_1990_2013";"POR_DANE_2005";"POR_DANE_2011";"EDUCACION_OFERTA_90_MIN";"SALUD_FLUJO_90_MIN";"ESPARCIMIENTO_90_MIN";"DESTINOS_90_MIN";"Poblacion.total.2013";"Poblacion.Cabecera.2013";"Poblacion.Rural.2013";"Area.total.ha.";"Area.cabecera.ha.";"Area.Rural.ha.";"Ingreso_Promedio";"IPD.2007.2013.";"IVR.dic._7_2014.";"IDEcologica";"IDR_CA";"IDR_COB";"IDP_CA";"IDP_COB";"SAP.SAR..CA.";"SAP.SAR.COB.";"COB.CA";"IPP_.CA.COB.";"IPR_.CA.COB.";"IBE_CA";"IBE_COB";"IFP.UAF";"IAA.Absoluto.";"IAA.Relativo.";"Atractividad.de.Pasajeros";"Generacion.de.Carga";"Transitabilidad";"DENSIDAD.Bruta.Total";"Coeficiente.Engels.Total";"DENSIDAD.Bruta.Terciarias";"Coeficiente.Engels.Terciarias";"DEFICIT.CUANTITATIVO.VIV";"DEFICIT.CUALITATIVO.VIV";"COBERTURA.ASEO.URBANA.RESIDENCIAL";"COBERTURA.ACUEDUCTO.URBANA.RESIDENCIAL";"COBERTURA.ALCANTARILLADO.URBANA.RESIDENCIAL";"IFP.2HA";"COEFICIENTE.CONSUMO.DE.ENERGIA";"COMPLEJIDAD.FUNCIONAL";"CAPACIDAD.TURISTICA";"Betweenness";"Straightnes";"Closeness";"Reach";"Gravity";"IA";"Subregion"
5001;"MEDELLIN";-1.34174360567799;-7.52171239432979;2.01071984977048;0.0964715629045493;-0.783397508874511;2.95994647130928;-0.787693605649987;-0.468673320501285;-0.573255620233592;-1.30125405085401;5.35035945122792;4.39622017730714;4.86917714077057;2.80918078087893;10.7682246584419;10.7992488890758;1.86137122768153;-0.225197727830491;10.6011714063595;-0.402513924013966;3.74619135395171;3.4964019340091;-0.492539015828481;-4.42948006526876;-0.130636657952224;-0.257852289680527;-5.61983504342484;-4.96068481706808;-0.210459500078509;-0.123356566616098;-0.30956282339764;0.309856104982592;0.289564523608174;0.210459500109726;-0.123356566590083;-0.128092460183339;-1.17432034836314;-0.538902478791589;9.85442125174735;9.1687364133296;2.09697566150822;0.423988157660074;-0.414776835830079;-0.800529639579938;-1.29469625413608;-0.82621826056194;-0.98275039237416;0.318465173955994;0.243176182541082;0.463933919308324;0.687294600814518;-1.17298670900017;7.69802084932396;8.46546382222199;4.95544874437257;1.50275046793705;1.72756613153559;3.14678725020222;-0.238632392065939;-0.759646857689978;"VALLE DE ABURRA"
5002;"ABEJORRAL";-0.219584931055092;-0.433954228667239;-0.614214530556914;0.0563419610307767;-1.07613722769595;0.209023584523525;0.0981601334759076;-0.468673320501285;-2.05911403190186;-1.4235602149155;-0.321034061709986;-0.39568099921664;-0.624149163291199;-0.512000484858557;-0.140674121052696;-0.150296193616934;0.162633786892141;-0.00126551507869276;-0.176819460282141;0.00169253527422188;-1.0466754947184;-0.24376969925662;0.464273284490633;0.200972295322803;0.0961751565609974;0.104433694619008;0.233638294010386;0.174124568469739;-0.264306616436866;-0.380306195548272;-0.278247570403174;0.182112796796934;0.287436524691862;0.264306616427539;-0.38030619562267;-0.0908565926647563;-0.321276228755427;-0.254148252694368;-0.28491729775475;-0.301007296954036;-0.343265631000647;0.275161348509732;0.611177229855491;0.304252958232119;0.571671328599666;-0.856908853116212;1.24365098258229;0.294309745106176;0.165928348188769;0.486385231702262;-0.344022962938349;0.538129965112996;-0.102410553843347;-0.147804607519103;-0.444708258442798;-0.188723022382776;0.00046200237602307;-0.627731503500387;-0.253987886694556;0.427056820539755;"ORIENTE"
5004;"ABRIAQUI";-0.49763731380113;-0.0910306284273227;-0.403012913748964;-0.104176446464314;-0.562216387987201;-0.102427999661315;-0.542670230998144;-0.468673320501285;-1.1258267087187;-1.08411371523733;-0.845711172416376;-0.42058821265596;-0.691085183908662;-0.781285452350786;-0.21913858406887;-0.177034543134269;-0.904712038769496;-0.357146649689815;-0.22878990058949;-0.353280140119826;-1.31665120948656;-0.24386668610615;1.08056487052105;0.214510659697409;0.0963419932441278;0.104597961008862;0.362684769046177;0.207503133606828;-0.282751505721553;-0.49081356533608;-0.202135031385709;-0.206768814189502;0.272568975056323;0.282751505756155;-0.490813565407271;-0.997037900216329;0.204695629671409;1.12894478202491;-0.377940329089771;-0.40552923969206;-0.887022005994314;-0.710803016701656;0.776312978353291;-0.425360258822506;0.979260198161664;-0.144510332220289;0.531645347060053;0.56001946245417;0.25283216183512;0.564964825081043;-0.599108154862156;0.111519560546594;-0.692503612668613;-0.342266608288788;-0.58879121857418;-1.3346688886321;-0.540165041084996;-0.627731503500387;-0.253987886694556;0.394874558386189;"OCCIDENTE"
5021;"ALEJANDRIA";-0.256763309915674;-1.25556297176405;-0.0510102190690453;-0.0740792450589842;-0.828934798468957;0.616378048609006;-0.259950952553709;-0.468673320501285;-0.926278647185716;-1.04456389506671;-0.643161404097165;-0.42020795733814;-0.412949840792638;-0.242715517366329;-0.213137851957875;-0.172212345527288;-0.879419041326833;-0.634406020391908;-0.241925059799328;-0.630289337388077;-0.419291735302022;-0.247454279270473;-0.878810524595382;0.205858314414908;0.0967805191577138;0.105306603024342;0.225741870574076;0.175885851154293;-0.202572804110106;-0.126819088413698;-0.317426309930027;0.320128202855767;0.28131940292151;0.202572804097887;-0.126819088387583;-0.937251444032091;-0.455638504546818;-0.100755372538015;-0.382044655629099;-0.410688571668403;-0.18363215210109;0.065977967677045;1.21668354622382;0.297715158348791;1.42257358351301;-0.697948928955569;0.140298667264795;0.56001946245417;0.320424016893395;0.491998059800746;-0.528363673819646;-0.160993355933674;-0.543517960940561;-0.258119573599639;-0.545867759321651;-0.536302029639225;0.30438517558631;-0.555144604390721;-0.253987886694556;-0.107658214024988;"ORIENTE"
5030;"AMAGA";-0.574612267216699;0.662194522832787;1.0351695245147;-0.144306048338086;-0.17840208997687;0.560977841091149;-0.278798904450005;1.86637035405622;-0.0100592659923399;0.0635753077114841;1.00896140496435;-0.104600181287122;1.25487438916046;1.46275594341779;-0.0968219172483883;-0.105548224410932;0.154607226818085;-0.710840194574521;-0.0717728717802742;-0.709561497731702;0.371025559623083;-0.0830160372469258;-0.96492453040512;0.0668909127671064;0.0924740681333293;0.0891225495853878;-0.0587535017184563;0.0321478016740647;-0.263971678522522;0.19959907583321;0.0306655189714355;0.039594532602642;0.364025753836398;0.263971678513179;0.199599075849856;1.0909806405743;-0.879522119026875;-0.875261438538836;0.405808522884232;1.53614225462597;-0.437707106942614;2.35104229119265;0.270969889147166;2.24635282051605;0.422108021957246;-0.0642362276023411;-1.16308009067989;0.56001946245417;0.320424016893395;0.508836544096199;1.55241549003521;0.3435743096759;-0.00371711713942048;-0.268648061353643;1.00974592403826;0.723183377014257;1.15554241776219;1.98539686444757;1.23997560319288;-0.324886707424638;"SUROESTE"
5031;"AMALFI";0.379458243825259;-0.561670642832838;-0.161639637397019;0.598091586326707;-0.132864800382424;1.1056689524458;-0.448430471516666;-0.468673320501285;-0.224531242019472;0.0577787223076611;-0.604115665625992;-0.420552097757645;-0.944713833391776;-0.960808764012271;-0.13025586742557;-0.12543058687254;-0.128002353463782;1.1855319544936;0.662779332802184;1.17431452860608;-0.650057138505973;-0.227332303144103;1.55500125392879;0.209956566891337;0.0965319171347359;0.104402665412597;0.243196882220075;0.205444688908461;-0.252422488754286;-0.512165110725789;-0.362686116626927;0.401032151169664;0.167017225206805;0.252422488787468;-0.512165110688495;-0.593590017506752;0.100411064841766;0.0905489585380956;-0.361213664092442;-0.228644763661136;-0.130460460404532;-0.75496518604995;0.0340852415552386;-0.539063281802473;0.0863346884098789;0.595653646375507;-1.02209310310861;0.56001946245417;0.320424016893395;0.31800038874773;-0.605445226486914;0.319839170002038;-0.0709071097470197;-0.169489164306191;-0.502823728554368;-0.915185028859131;-0.567614519026694;-0.700318402610052;-0.253987886694476;0.169571807908326;"NORDESTE"
5034;"ANDES";-0.395527681719252;0.2156898937814;0.200420277130896;-0.0540144441220979;-0.288992650420525;0.934812852170188;-0.316494808242596;-0.468673320501285;0.466195677215314;0.606273352560264;-0.360079800181159;-0.392465773754562;-0.254543450624467;-0.332477173197071;-0.0245902085855606;-0.0795046762663587;1.10818123003468;-0.128906238588407;-0.0200086716945237;-0.128557371193774;-0.411735043702983;-0.179968026204291;0.536420089761367;0.172030418364746;0.0954496324419776;0.103255278240118;0.120369702407323;0.128919210564762;-0.281506559698919;-0.443292563843888;-0.151349303841372;-0.246199318238045;0.295868003142523;0.281506559690397;-0.443292563808592;-0.0723158867959479;-0.0080082711083815;-0.176122525892215;-0.0331682791114614;0.104997040948191;-0.758750419180371;-0.10098200890021;-0.559787473567507;0.317084965824728;-0.106761122657887;-0.0422244779926261;0.470421763664089;-0.756451409860888;0.223864223953003;0.0205204995280589;0.0527892883058626;-0.397062987194369;0.490153916976879;-0.129475864947278;-0.457729982036262;0.0826538624788487;-0.361009320519008;-0.337383907061725;-0.253987886669287;0.890282195284268;"SUROESTE"
5036;"ANGELOPOLIS";-0.632212572493656;0.92466683855894;0.482022432874832;0.357313975084071;-0.70533358385546;-0.39758540483581;-0.768845653753692;-0.468673320501285;-1.17059787531395;-1.0051651247386;0.823494147226279;-0.140276917615603;0.937965485423787;1.10370932009481;-0.18979914405082;-0.157069356667961;-0.707781320673479;-0.715575569044862;-0.176522060522165;-0.712544063110095;0.371025559623083;-0.144989748298809;0.783614983097196;0.171281317424219;0.09542840897319;0.103326243040399;0.151693660661461;0.128779257636369;-0.275506148724198;-0.462017344457176;-0.269491147493088;0.0871120628888253;0.272154679955305;0.275506148715395;-0.462017344421337;-0.437934469750932;-0.833312905793934;-0.393307256274298;-0.310181181995076;-0.382383739575651;-0.866408819233734;0.803250020493486;0.540236964023434;0.895242252176717;0.683814502160993;-0.229608968504005;0.604031142591977;0.56001946245417;0.320424016893395;-0.131025859131019;-0.122289263196589;-0.588072071553611;-0.634135901893327;-0.378963027405617;-0.579748354967608;0.0735666766002514;0.975567468590962;1.04176717602192;-0.253914108669914;-0.279144053900951;"SUROESTE"
5038;"ANGOSTURA";0.896290073901226;0.609901187898841;-1.1271327428048;0.076406761967663;-0.230444706656237;0.440866467818071;-0.146863241175936;-0.468673320501285;-0.0759055903915158;0.0717228958789599;-0.557748851191474;-0.359513232736521;-0.611171348826087;-0.512000484858557;-0.176610271882681;-0.171991481514754;-0.134535600035688;-0.285110275694993;-0.26887025819075;-0.280581194397458;-0.702925818115648;-0.252593493836245;-0.161258096113751;0.202799584921222;0.0967330631428693;0.104685208330237;0.220927593734261;0.174552450847184;-0.185070203775943;-0.301524858164162;-0.352724572271921;0.366084068102805;0.201895871193426;0.185070203762904;-0.301524858132979;1.09147299720917;-0.0510746724785459;0.377547834279578;-0.282885877920164;-0.290711653273699;-0.693085604299873;-0.262239652617879;-0.249751057162498;0.0759550966209011;0.128382232408651;-0.144393984729794;1.34350966722432;0.14937717200727;0.320424016893395;0.160841201990168;-0.358470702606152;-0.616127918346717;-0.452124793825146;-0.252015333676307;-0.359343625996757;-0.834445829517816;-0.0749495866358969;-0.700318402610052;-0.253987886694556;-0.445856829200954;"NORTE"
5040;"ANORI";0.528695398406465;-1.23947271486129;-0.533756771772933;-0.846574081129107;-0.184907417061791;0.563771128841685;0.230095796749977;-0.468673320501285;-0.290639892761124;-0.17577971183628;-0.774940771437375;-0.420624551541307;-0.896055643180515;-0.960808764012271;-0.153503586217978;-0.150802340312323;-0.0902961875344977;1.53127293527183;0.408862553111719;1.52426517505801;0.527913741852576;-0.226243127271708;1.97273967443282;0.212677371737232;0.0966722754703531;0.104373442364672;0.245072298123701;0.230645118234467;-0.247345890216072;-0.53964169258098;-0.374961427738371;0.466892483374098;0.107100909116449;0.24734589020595;-0.53964169254289;-0.800747237472217;1.04453632857486;1.39230344219879;-0.409582191597763;-0.406109077538992;-0.843851612572224;-1.21143666857202;-1.04070795063811;-0.909468182669609;-0.817722913392574;0.943467635580293;-0.420205452106403;-0.526974835787621;0.320424016893395;-0.905596136721862;-0.609768734546769;0.296679388182146;-0.365236466061747;-0.278877144000792;-0.474489422587109;-1.52551898625149;-1.0471398757361;-0.845492200829383;-0.253987886694556;0.491821570363415;"NORDESTE"
